px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
63.4286	23.4253	2.70231	0.166573	-0.189003	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.36595
66.286	23.9803	3.21631	0.225385	0.0174027	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	2.3396e-314
66.159	23.9379	2.61537	0.181483	-0.0459823	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.92128
68.2887	24.3621	2.35244	0.186525	-0.0117266	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	2.3396e-314
68.3736	24.3939	2.52705	0.206306	0.0109858	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.87273
70.8049	24.8783	2.74681	0.214994	0.0122001	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	2.3396e-314
70.751	24.8554	2.44002	0.192269	-0.0267358	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.903614
72.9094	24.7295	2.27899	-0.157375	-0.269559	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	2.3396e-314
72.9561	24.7496	2.3696	-0.139949	-0.246087	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.60885
75.0147	25.2275	2.01365	0.314735	0.270292	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.3396e-314
75.0069	25.2214	2.03781	0.308538	0.263914	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0518615
77.1151	24.9664	1.97216	-0.271605	-0.359294	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	2.3396e-314
77.1355	24.9724	1.99143	-0.276813	-0.367122	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.156804
79.088	25.0039	1.89241	0.108665	0.197088	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	2.3396e-314
79.094	25.01	1.84896	0.112428	0.199203	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0710874
80.8106	24.8873	1.82044	-0.0624556	-0.0706199	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	2.3396e-314
80.8496	24.8895	1.74182	-0.0888771	-0.120558	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.11946
82.599	24.6382	1.96542	-0.164889	-0.0787864	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	2.3396e-314
82.5725	24.6244	1.80135	-0.213938	-0.148851	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.308641
84.1706	24.5347	1.71701	-0.0143182	0.0982181	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	2.3396e-314
84.1725	24.537	1.65782	-0.0199655	0.0866721	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0852637
85.6491	23.8393	1.615	-0.57485	-0.367053	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	2.3396e-314
85.7097	23.8709	1.75929	-0.50594	-0.275519	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.918338
86.958	23.4941	1.31583	-0.357703	0.00985614	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	2.3396e-314
87.0688	23.5284	1.3721	-0.278933	0.0696797	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.72711
88.7672	22.8084	2.05012	-0.460652	-0.0982871	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.3396e-314
88.6966	22.7751	1.88568	-0.57302	-0.233588	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.07382
89.56	22.2657	1.02081	-0.673784	-0.20407	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.3396e-314
89.6251	22.28	1.15655	-0.600025	-0.117408	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.834646
90.5049	21.6635	1.18328	-0.609669	-0.0387614	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	2.3396e-314
90.5947	21.6874	1.31053	-0.485314	0.0780834	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.78509
91.7086	21.1166	1.40666	-0.383566	0.0970629	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	2.3396e-314
91.7574	21.1279	1.29473	-0.406507	0.0293492	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.08955
92.8552	20.9367	1.21364	-0.0558155	0.245234	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	2.3396e-314
92.9154	20.9616	1.08362	-0.0290537	0.244997	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.54514
93.5187	20.2788	0.59257	-0.710293	-0.35929	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	2.3396e-314
93.5942	20.3246	0.9153	-0.582642	-0.202006	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.87712
95.2026	19.6728	1.98199	-0.038167	0.332648	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	2.3396e-314
95.0093	19.6632	1.31889	-0.359832	0.0576938	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	7.24764
95.5771	19.6662	0.549828	-0.0361989	0.214719	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	2.3396e-314
95.6007	19.6589	0.722663	-0.0250938	0.232051	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.277049
96.2618	19.2251	0.712346	-0.623649	-0.301673	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	2.3396e-314
